,candidate,tweet,date
0,Kyrsten Sinema,"@danpfeiffer @leahmcelrath Yes she did. If you live in Arizona and want preexisting conditions saved in the ACA, vote for Kyrsten Sinema.
#VoteBlueToSaveAmerica  #VoteBlue",2018-11-04 23:59:23
1,Kyrsten Sinema,"#ARIZONA #CONSERVATIVES

You can put lipstick on a pig,  but it’s still a pig. Don’t be fooled by a pretty face. Kyrsten Sinema is anything but pretty inside.  She is a leftwing Radical Communist that will destroy #AZ

VOTE MARTHA MCSALLY FOR SENATE...a proven leader  w/integrity https://t.co/Kk503w914U",2018-11-04 23:59:12
2,Kyrsten Sinema,Here ya go: Kyrsten Sinema just wrapped up running a half marathon in Phoenix. She beat her personal half marathon record by 12 minutes — with a time of 1:43. #AZSEN,2018-11-04 23:59:03
3,Kyrsten Sinema,@joncoopertweets @Nevada_Dem @kyrstensinema I Voted ALL Blue!I know all of this and I Voted for Kyrsten Sinema and ALL BLUE in Early Voting!👍🌊💙😃 https://t.co/d2spmmZnih,2018-11-04 23:58:37
4,Kyrsten Sinema,The Arizona GOP is sending mailers to Democratic voters tying the Green Party nominee in the state’s crucial Senate race to Sen. Bernie Sanders in what appears to be an attempt to persuade liberals to support her over Democratic Rep. Kyrsten Sinema. https://t.co/ra0Usrf0bO,2018-11-04 23:58:22
5,Kyrsten Sinema,@joncoopertweets @Nevada_Dem @kyrstensinema I Voted ALL Blue!I know all of this and I Voted for Kyrsten Sinema and ALL BLUE in Early Voting!👍🌊💙😃 https://t.co/d2spmmZnih,2018-11-04 23:57:42
6,Kyrsten Sinema,"THE DEFLECTION: Some made-up rumor about Joe Donnelly &amp; Facebook ads.

THE ACTUAL NEWS: Arizona GOP was caught paying for promotional third party mailers that falsely tied the Green Party candidate to Bernie Sanders in an attempt to siphon votes away from Democrat Kyrsten Sinema. https://t.co/t9vbL3j1gH",2018-11-04 23:56:51
7,Kyrsten Sinema,Here ya go: Kyrsten Sinema just wrapped up running a half marathon in Phoenix. She beat her personal half marathon record by 12 minutes — with a time of 1:43. #AZSEN,2018-11-04 23:56:33
8,Kyrsten Sinema,"Democrats who will move this country forward:

Stacey Abrams - GA
Andrew Gillum - FL
Kyrsten Sinema -AZ
Beto O’Rourke -TX
Sharice Davids - KS
Randy Bryce - WI
Mike Levin - CA
Deb Haaland - NM

What other Dems are YOU voting for?

#VoteBlueToSaveAmerica #GOTV",2018-11-04 23:54:56
9,Kyrsten Sinema,"Democrats who will move this country forward:

Stacey Abrams - GA
Andrew Gillum - FL
Kyrsten Sinema -AZ
Beto O’Rourke -TX
Sharice Davids - KS
Randy Bryce - WI
Mike Levin - CA
Deb Haaland - NM

What other Dems are YOU voting for?

#VoteBlueToSaveAmerica #GOTV",2018-11-04 23:54:43
10,Martha McSally,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:57
11,Martha McSally,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:56
12,Martha McSally,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:53
13,Martha McSally,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:52
14,Martha McSally,@MaddowBlog Martha McSally: “Who are you gonna believe? Me or your own eyes?”,2018-11-04 23:59:52
15,Martha McSally,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:51
16,Martha McSally,"Arizonans: When you vote on Tuesday, please remember that Martha “Let’s Fucking Do This” McSally voted to repeal the ACA and tried to eliminate #PreExistingConditions protections. 

Vote for @kyrstensinema — she’ll protect your health care!

#MarthaLetsFuckingDoThisMcSally",2018-11-04 23:59:48
17,Martha McSally,Martha McSally yelled “Let’s Fucking Do This” on her way to enthusiastically vote to repeal the ACA https://t.co/Ucf7iujsZO,2018-11-04 23:59:46
18,Martha McSally,"Arizonans: When you vote on Tuesday, please remember that Martha “Let’s Fucking Do This” McSally voted to repeal the ACA and tried to eliminate #PreExistingConditions protections. 

Vote for @kyrstensinema — she’ll protect your health care!

#MarthaLetsFuckingDoThisMcSally",2018-11-04 23:59:45
19,Martha McSally,"Martha McSally: ""We cannot go back to where we were before Obamacare.""

also Martha McSally: ""Let's get this F***ing thing done!"" (the f***ing thing being Obamacare repeal) https://t.co/E6NA3xklDy",2018-11-04 23:59:45
20,Jacky Rosen,"""They don't care about your health conditions. They don't care about lifetime caps. Jacky Rosen does, and that's why I'm here to support Jacky."" - @JimmyKimmel

Help us get across the finish line &gt;&gt; https://t.co/XU1IJEjTfC https://t.co/pcZvFCObd0",2018-11-04 23:59:59
21,Jacky Rosen,"It’s simple - A vote for liberal Jacky Rosen is a vote to turn Nevada into California. 

Nevada patriots - Get out the vote on Tuesday for @Deanheller! #MAGA #NVSEN https://t.co/Wvgl8Du3cd",2018-11-04 23:59:19
22,Jacky Rosen,"Jacky Rosen, Democrats Do not know what party lines are, &amp; I don’t think you do. President has tried to work with Dem’s many times. We all know how that went. It’s 100% Dems way or no way.",2018-11-04 23:58:43
23,Jacky Rosen,"Jacky Rosen stands with them, not Nevada. Find your polling place now and vote November 6th!",2018-11-04 23:58:30
24,Jacky Rosen,"Two days left. Vote Jacky Rosen, @RosenforNevada, to help keep this the land of the free. She’s the best of the brave. #WaveCast #WaveCastNV #FlipTheSenate #VoteDem 💥 https://t.co/jQT8oqWIyg",2018-11-04 23:58:21
25,Jacky Rosen,"NEVADA :

JACKY ROSEN will NOT VOTE to Kill your Pre -Existing Con benefits
Or these benefits 👇

*Soc. Security
*Medicare
*Medicaid

HELLER- ALREADY VOTED 70 TIMES TO KILL ACA.

Can U AFFORD TO LOSE THESE 
BENEFITS?

SAVE YOUR ACA + PRE- EXIST CON

VOTE J ROSEN 
RT",2018-11-04 23:56:46
26,Jacky Rosen,I will still gladly ring this doorbell because killer spiders are only the second scariest thing to me. The first would be jacky Rosen or Steve sisolak winning this election. #TeamDean #TeamLaxalt #WeAreTheField #LeadRight https://t.co/YfkSwQHlXN,2018-11-04 23:56:38
27,Jacky Rosen,"And if you would like to take out your anger over Kavanaugh on someone deserving, donate to Jacky Rosen. This man’s opponent for Senate in NV.  https://t.co/XKdiVscYWL https://t.co/Voa3qi4Dlc",2018-11-04 23:56:28
28,Jacky Rosen,I will still gladly ring this doorbell because killer spiders are only the second scariest thing to me. The first would be jacky Rosen or Steve sisolak winning this election. #TeamDean #TeamLaxalt #WeAreTheField #LeadRight https://t.co/YfkSwQHlXN,2018-11-04 23:56:18
29,Jacky Rosen,"President Obama is ALL-IN to elect Jacky Rosen in NV because he knows that THIS race will decide Senate control. But McConnell is dumping millions in to stop us, and our fundraising is falling short. Give now and have it MATCHED to win in NV and take back the Senate for Dems!",2018-11-04 23:56:16
30,Dean Heller,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:57
31,Dean Heller,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:56
32,Dean Heller,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:53
33,Dean Heller,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:52
34,Dean Heller,"Nevada Sen. Dean Heller (R) had a woman with stage-4 cancer forcibly removed from his town hall after she asked him how Trump's policies would harm the Affordable Care Act. 

https://t.co/qFH7PrP6hf",2018-11-04 23:59:52
35,Dean Heller,"John James
Kevin Cramer
Matt Rosendale
Rick Scott
Martha McSally
Marsha Blackburn
Bob Hugin
Ron DeSantis
Ted Cruz
Karin Housley
Leah Vukmir
Josh Hawley
Dean Heller
Mike Braun
Patrick Morrisey
VOTE VOTE VOTE VOTE VOTE",2018-11-04 23:59:51
