,candidate,tweet,date
0,Kyrsten Sinema,"Para crear empleos que proporcionen un salario digno para los habitantes de AZ, #KrystenSinema trabajará para aprobar legislación para construir nueva infraestructura y ayudar negocios a contratar más trabajadores. 

#AZSen #TeamSinema 
#FlipTheSenate 
 https://t.co/yzhRIvn8BD",2018-10-28 23:59:30
1,Kyrsten Sinema,"Para crear empleos que proporcionen un salario digno para los habitantes de AZ, #KrystenSinema trabajará para aprobar legislación para construir nueva infraestructura y ayudar negocios a contratar más trabajadores. 

#AZSen #TeamSinema 
#FlipTheSenate 
 https://t.co/yzhRIvn8BD",2018-10-28 23:59:12
2,Kyrsten Sinema,"Para crear empleos que proporcionen un salario digno para los habitantes de AZ, #KrystenSinema trabajará para aprobar legislación para construir nueva infraestructura y ayudar negocios a contratar más trabajadores. 

#AZSen #TeamSinema 
#FlipTheSenate 
 https://t.co/yzhRIvn8BD",2018-10-28 23:59:09
3,Kyrsten Sinema,"In Feb 2017, more than 150 members of Congress signed a bipartisan letter demanding a federal response to bomb threats against Jewish Community Centers. 

Kyrsten Sinema signed.

Martha McSally did not.

https://t.co/SO8ssqZgs9",2018-10-28 23:59:07
4,Kyrsten Sinema,"In Feb 2017, more than 150 members of Congress signed a bipartisan letter demanding a federal response to bomb threats against Jewish Community Centers. 

Kyrsten Sinema signed.

Martha McSally did not.

https://t.co/SO8ssqZgs9",2018-10-28 23:58:48
5,Kyrsten Sinema,"""People want elected officials who are willing to work together to solve problems, not politicians who play partisan games [...] The good news is that all across the country women are stepping up, running for office, and getting involved."" — @kyrstensinema https://t.co/rWsARvhBac",2018-10-28 23:58:35
6,Kyrsten Sinema,"Para crear empleos que proporcionen un salario digno para los habitantes de AZ, #KrystenSinema trabajará para aprobar legislación para construir nueva infraestructura y ayudar negocios a contratar más trabajadores. 

#AZSen #TeamSinema 
#FlipTheSenate 
 https://t.co/yzhRIvn8BD",2018-10-28 23:58:33
7,Kyrsten Sinema,"Para crear empleos que proporcionen un salario digno para los habitantes de AZ, #KrystenSinema trabajará para aprobar legislación para construir nueva infraestructura y ayudar negocios a contratar más trabajadores. 

#AZSen #TeamSinema 
#FlipTheSenate 
 https://t.co/yzhRIvn8BD",2018-10-28 23:58:29
8,Kyrsten Sinema,"Para crear empleos que proporcionen un salario digno para los habitantes de AZ, #KrystenSinema trabajará para aprobar legislación para construir nueva infraestructura y ayudar negocios a contratar más trabajadores. 

#AZSen #TeamSinema 
#FlipTheSenate 
 https://t.co/yzhRIvn8BD",2018-10-28 23:58:23
9,Kyrsten Sinema,"Para crear empleos que proporcionen un salario digno para los habitantes de AZ, #KrystenSinema trabajará para aprobar legislación para construir nueva infraestructura y ayudar negocios a contratar más trabajadores. 

#AZSen #TeamSinema 
#FlipTheSenate 
 https://t.co/yzhRIvn8BD",2018-10-28 23:58:19
10,Martha McSally,"If you live in Arizona please vote for true American hero Martha McSally.

The feminist snowflake running against her is a zero. 

♦️Vote Straight Republican
#AZSen #VoteRED #KAG https://t.co/x59weiFd8F",2018-10-28 23:59:41
11,Martha McSally,"If you live in Arizona please vote for true American hero Martha McSally.

The feminist snowflake running against her is a zero. 

♦️Vote Straight Republican
#AZSen #VoteRED #KAG https://t.co/x59weiFd8F",2018-10-28 23:59:17
12,Martha McSally,"In Feb 2017, more than 150 members of Congress signed a bipartisan letter demanding a federal response to bomb threats against Jewish Community Centers. 

Kyrsten Sinema signed.

Martha McSally did not.

https://t.co/SO8ssqZgs9",2018-10-28 23:59:07
