,sentiment,tweet,candidate
0,1.0,"""The stakes could not be higher. ... What you do in Florida is going to impact the rest of the country."" - @KamalaHarris stumping for her Senate colleague Bill Nelson in Miami this morning. https://t.co/eXHZH8SMok",Bill Nelson
1,1.0,@FLGovScott @USACEHQ I laugh even in an election year Bill Nelson no where to be found. He is an empty seat like the ads.,Bill Nelson
2,1.0,"Governor Rick Scott has been amazing since the hurricane ... He's always down here providing support, FEMA is everywhere, Red Cross, you name it. We're being well taken care of.



Bill Nelson is absolutely nowhere to be found.  Big Surprise. He's a Democrat.",Bill Nelson
3,1.0,Look out my friends in Florida   You have bill Nelson trying to take your guns away. You have a scumbag running for Governor Guilim who will turn your state into a sanctuary state. You will need your guns more then ever. This is a demon rat plot to disarm you,Bill Nelson
4,1.0,@GKeile DON'T forget about Rick Scott in Florida over the *do-nothing* Bill Nelson! Vote #RickScott #VoteRedToSaveAmerica https://t.co/UmlyhxywAV,Bill Nelson
5,1.0,"Rick Scott’s company ripped off Medicare. 

Rick Scott rejected Medicaid for 800,000 Floridians. 

Rick Scott will reduce your Medicare &amp; Social Security benefits to pay for tax cuts for the 1%. 

Vote fo Bill Nelson.",Bill Nelson
6,1.0,"Powerful reminder why the election of @RonDeSantisFL   matters.  And let's PLEASE send Bill ""do-nothing"" Nelson home and send @FLGovScott to the Senate! https://t.co/DL7RBPF2cG",Bill Nelson
7,0.0,"@realDonaldTrump @ScottforFlorida You are the con man in the world, a chronic pathological liar. There is no cure for your disease. Bill Nelson has been there for every disaster areas and events and helped with the DISASTER RELIEF. Nelson reached out for all victims. Where was/is Rick Scott and you??? https://t.co/rOVZwNWDJB",Bill Nelson
8,0.0,"@realDonaldTrump You are the con man in the world, a chronic pathological liar. There is no cure for your disease. Bill Nelson has been there for every disaster areas and events and helped with the DISASTER RELIEF. Nelson reached out for all victims. Where was/is Rick Scott and you??? https://t.co/bOQLmvwd2E",Bill Nelson
9,0.0,"In all the time I’ve been President, almost two years, never once did Senator Bill Nelson call me to ask for help for the Great State of Florida. I never see him until election time....",Bill Nelson
10,1.0,"BOOM!! 



The Border Patrol Union that endorsed Trump in 2016, just endorsed 3 major Democrat Senate candidates who Trump has said are weak on border security:  Claire McCaskill, Jon Tester and Heidi Heitkamp!",Claire McCaskill
11,1.0,"This is urgent: Poll after poll shows Claire McCaskill TIED with her extremist GOP opponent in Missouri’s toss-up Senate race. She needs funds to stand up to GOP attack ads, so I promised her that we’d come through. Control of the Senate is at stake. Give now to help Claire win!",Claire McCaskill
12,1.0,"Claire McCaskill / Josh Hawley Final Debate - Sparks Fly - Don’t Get Sidetracked by False Flags



“will you, Senator McCaskill, vote for an all-out ban like you said in last week's Project Veritas video?



#VoteRedToSaveAmerica 



https://t.co/jwnStFepRX",Claire McCaskill
13,1.0,"Pres. Trump has flown to MO 4 times to campaign against my friend Claire McCaskill, and special interest groups have spent more than $20 MILLION to flip her seat. So please, give now so Claire can turn out voters to keep this seat blue and protect the future of the Supreme Court.",Claire McCaskill
14,1.0,@MeetThePress @MorganRadford Republicans want to take away protections for people with pre-existing health conditions like asthma &amp; diabetes. Republicans voted to take away those protections last year and are suing to take away the pre-existing protections. Vote for Claire McCaskill,Claire McCaskill
15,1.0,@MomsDemand is getting out the Vote for Claire McCaskill @McCaskill4MO &amp; Cort VanOstran @cortvo! We need to do it too! #VoteDem #WaveCast #WaveCastMO  #FlipTheHouse #FlipTheSenate 💥 Vote! 💥 https://t.co/eKue6XWJRA,Claire McCaskill
16,1.0,Claire McCaskill Under Fire After Staffer Admits Planned Parenthood Secretly Funnels Money to Her https://t.co/13jyfaZd9O https://t.co/mIaBmujmpo,Claire McCaskill
17,1.0,"💥💥 MISSOURI ELECTION ALERT 💥💥

If you want want Border Security, and to preserve your way of life, it’s time to say goodbye the Claire McCaskill

And vote for Josh Hawley @HawleyMO for U.S Senate.  Our President agrees that Josh Hawley is the right choice for Missouri. https://t.co/jseG3AfjFW",Claire McCaskill
18,1.0,"Claire McCaskill stands with them, not Missouri. Find your polling place now and vote November 6th!",Claire McCaskill
19,0.0,"#MISSOURI #CONSERVATIVES #WALKAWAY



This week Claire McCaskill tried representing herself as a Centrist &amp; distance herself from Pelosi/Schumer.



LIES!  She is the Radical Left &amp; has a worse conservative record than PELOSI!



Vote JOSH HAWLEY FOR SENATE 

#VoteRed #VoteDemsOut https://t.co/b5S7nS3abY",Claire McCaskill
20,1.0,"Danny Tarkanian has some ~thoughts~ on Dean Heller’s conversion from Trump skeptic to loyal supporter.



https://t.co/BrezUh6bLP https://t.co/CbUb5xSLI0",Dean Heller
21,1.0,"Heading to Nevada to help a man who has become a good friend, Senator Dean Heller. He is all about #MAGA and I need his Help and Talent in Washington. Also, Adam Laxalt will be a GREAT GOVERNOR, and has my complete and total Endorsement. Winners Both!",Dean Heller
22,1.0,".@DeanHeller’s Senate race is probably the best test of Trump’s political power in the 2018 election: a former critic turned staunch ally whose hopes hinge on juicing pro-Trump voter turnout in Nevada.



https://t.co/BrezUh6bLP",Dean Heller
23,0.0,"BREAKING: 538 said Nevada’s Senate race is the closest in the entire country. If we LOSE here to Trump-backed Dean Heller, we’ll LOSE our chance to take back the Senate! We’re counting on you. Please, chip in NOW to help us win – every dollar will be DOUBLED! Donate NOW &gt;&gt;",Dean Heller
24,1.0,"John James

Kevin Cramer

Matt Rosendale

Rick Scott

Martha McSally

Marsha Blackburn

Bob Hugin

Ron DeSantis

Ted Cruz

Karin Housley

Leah Vukmir

Josh Hawley

Dean Heller

Mike Braun

Patrick Morrisey

VOTE VOTE VOTE VOTE VOTE",Dean Heller
25,0.0,"Nevada Sen. Dean Heller (R) had a woman with stage-4 cancer forcibly removed from his town hall after she asked him how Trump's policies would harm the Affordable Care Act. 



https://t.co/qFH7PrP6hf",Dean Heller
26,1.0,"Our new ad features a Reno family whose son, Dean, was born with a heart defect. He will have a pre-existing condition for the rest of his life.

Senator Heller still owes them an explanation for why he supported slashing pre-existing conditions protections. #NVSen https://t.co/qMFkEhas1H",Dean Heller
27,0.0,"BREAKING: 538 said Nevada’s Senate race is the closest in the entire country. If we LOSE here to Trump-backed Dean Heller, we’ll LOSE our chance to take back the Senate! We’re counting on you. Please, chip in NOW to help us win – every dollar will be DOUBLED! Donate NOW &gt;&gt;",Dean Heller
28,1.0,"Go #BlueWave!! Jacky Rosen @RosenforNevada #FlipTheSenate

""Control of Congress pits a relatively unknown Southern #Nevada Dem against incumbent Nevada Republican (Dean Heller) who, critics contend, is too well known to be trusted.""  --Reno Gazette Journal

#BeAVoter #VoteBlue https://t.co/u0LBh4sDA0",Dean Heller
29,0.0,"@DeanHeller just said ""I'm the 5th most bipartisan Senator in Washington."" 538 score doesn't reflect that:  https://t.co/cJmW2B882Y",Dean Heller
30,1.0,@RosenforNevada Vote for Jacky Rosen!!,Jacky Rosen
31,1.0,"@ZConine @CByrne4NV @SheaBackusEsq @TheDA_Wolfson 

~IN JUST 9 DAYS NEVADA GOES BLUE~

💙Vote early💙Go with a friend💙Take every voter in your household💙Call a local candidate and ask what you can do💙phone bank💙text voters💙

Go here to learn:

https://t.co/aRAbNkFR80 https://t.co/HPriBub5ws",Jacky Rosen
32,1.0,"Nevada: I believe here are my votes that I shall make on election day.

Governor: Donald B. Mckiegan the only real choice.

Senator: jacky Rosen, cant tell you why.

Lieutenant Governor: Republican

Attorney General: Republican

Against Danny tarkanian, Ozzy Fumo, and steven horseford",Jacky Rosen
33,1.0,"@RosenforNevada @joe_kidder2 Donating time and money, and I don’t even live in NV. That’s how much I believe in Jacky Rosen.",Jacky Rosen
34,1.0,"@RosenforNevada VOTE BLUE

Jacky Rosen

🌊🌊🌊🌊🌊

🌊🌊🌊🌊🌊 https://t.co/0RqVK4Hy5h",Jacky Rosen
35,0.0,"President Obama is ALL-IN to elect Jacky Rosen in NV because he knows that THIS race will decide Senate control. But McConnell is dumping millions in to stop us, and our fundraising is falling short. Give now and have it MATCHED to win in NV and take back the Senate for Dems!",Jacky Rosen
36,1.0,"NEVADA :



JACKY ROSEN will NOT VOTE to Kill your Pre -Existing Con benefits

Or these benefits 👇



*Soc. Security

*Medicare

*Medicaid



HELLER- ALREADY VOTED 70 TIMES TO KILL ACA.



Can U AFFORD TO LOSE THESE 

BENEFITS?



SAVE YOUR ACA + PRE- EXIST CON



VOTE J ROSEN 

RT",Jacky Rosen
37,1.0,"Two days left. Vote Jacky Rosen, @RosenforNevada, to help keep this the land of the free. She’s the best of the brave. #WaveCast #WaveCastNV #FlipTheSenate #VoteDem 💥 https://t.co/jQT8oqWIyg",Jacky Rosen
38,1.0,"Jacky Rosen, Democrats Do not know what party lines are, &amp; I don’t think you do. President has tried to work with Dem’s many times. We all know how that went. It’s 100% Dems way or no way.",Jacky Rosen
39,1.0,"""They don't care about your health conditions. They don't care about lifetime caps. Jacky Rosen does, and that's why I'm here to support Jacky."" - @JimmyKimmel



Help us get across the finish line &gt;&gt; https://t.co/XU1IJEjTfC https://t.co/pcZvFCObd0",Jacky Rosen
40,1.0,"In Joe Donnelly's America, our enemies are appeased, good people are smeared, and Hollywood values are celebrated. That's not the America we see. Vote Mike Braun on November 6th! #INSen #INPol #DitchDonnelly",Joe Donnelly
41,1.0,"""America needs more senators like Joe Donnelly. Indiana needs to re-elect him.""



Thank you, @JGfortwayne! Please, make your plan to vote early this week at https://t.co/gSIBXN80oO and let's win this. https://t.co/hSMIkdhnR3",Joe Donnelly
42,1.0,"#ICYMI: President Trump signed the bipartisan America’s Water Infrastructure Act into law this week, which contained several of Joe’s provisions focused on Hoosier priorities. https://t.co/p8H1BKRMlW https://t.co/aLzO30SqW5",Joe Donnelly
43,1.0,"@JaySekulow In CASE YOU MISSED IT

An amendment that could have de-funded Planned Parenthood

However

These Senators voted against the amendment 

Senator Donnelly (D-IND)

Sen. Joe Manchin (D-WV)

Sen. Bob Casey (D-PA)

Sen’s Collins (R-ME)

Murkowski (R-AK).",Joe Donnelly
44,0.0,"CBS/YouGov Senate polls



FLORIDA

Bill Nelson (D) 46%

Rick Scott (R) 46%



INDIANA

Mike Braun (R) 46%

Joe Donnelly (D) 43%



ARIZONA

Kyrsten Sinema (D) 47%

Martha McSally (R) 44%



https://t.co/PJl6sJEiF0",Joe Donnelly
