candidate,tweet,date
Bill Nelson,"""The stakes could not be higher. ... What you do in Florida is going to impact the rest of the country."" - @KamalaHarris stumping for her Senate colleague Bill Nelson in Miami this morning. https://t.co/eXHZH8SMok",2018-10-28 23:56:02
Bill Nelson,@FLGovScott @USACEHQ I laugh even in an election year Bill Nelson no where to be found. He is an empty seat like the ads.,2018-10-28 23:57:05
Bill Nelson,"Governor Rick Scott has been amazing since the hurricane ... He's always down here providing support, FEMA is everywhere, Red Cross, you name it. We're being well taken care of.



Bill Nelson is absolutely nowhere to be found.  Big Surprise. He's a Democrat.",2018-10-28 23:57:22
Bill Nelson,Look out my friends in Florida   You have bill Nelson trying to take your guns away. You have a scumbag running for Governor Guilim who will turn your state into a sanctuary state. You will need your guns more then ever. This is a demon rat plot to disarm you,2018-10-28 23:58:03
Bill Nelson,@GKeile DON'T forget about Rick Scott in Florida over the *do-nothing* Bill Nelson! Vote #RickScott #VoteRedToSaveAmerica https://t.co/UmlyhxywAV,2018-10-28 23:58:15
Bill Nelson,"Rick Scott’s company ripped off Medicare. 

Rick Scott rejected Medicaid for 800,000 Floridians. 

Rick Scott will reduce your Medicare &amp; Social Security benefits to pay for tax cuts for the 1%. 

Vote fo Bill Nelson.",2018-11-04 23:59:24
Bill Nelson,"Powerful reminder why the election of @RonDeSantisFL   matters.  And let's PLEASE send Bill ""do-nothing"" Nelson home and send @FLGovScott to the Senate! https://t.co/DL7RBPF2cG",2018-11-04 23:59:25
Bill Nelson,"@realDonaldTrump @ScottforFlorida You are the con man in the world, a chronic pathological liar. There is no cure for your disease. Bill Nelson has been there for every disaster areas and events and helped with the DISASTER RELIEF. Nelson reached out for all victims. Where was/is Rick Scott and you??? https://t.co/rOVZwNWDJB",2018-11-04 23:59:38
Bill Nelson,"@realDonaldTrump You are the con man in the world, a chronic pathological liar. There is no cure for your disease. Bill Nelson has been there for every disaster areas and events and helped with the DISASTER RELIEF. Nelson reached out for all victims. Where was/is Rick Scott and you??? https://t.co/bOQLmvwd2E",2018-11-04 23:59:43
Bill Nelson,"In all the time I’ve been President, almost two years, never once did Senator Bill Nelson call me to ask for help for the Great State of Florida. I never see him until election time....",2018-11-04 23:59:46
Claire McCaskill,"BOOM!! 



The Border Patrol Union that endorsed Trump in 2016, just endorsed 3 major Democrat Senate candidates who Trump has said are weak on border security:  Claire McCaskill, Jon Tester and Heidi Heitkamp!",2018-10-28 23:59:22
Claire McCaskill,"This is urgent: Poll after poll shows Claire McCaskill TIED with her extremist GOP opponent in Missouri’s toss-up Senate race. She needs funds to stand up to GOP attack ads, so I promised her that we’d come through. Control of the Senate is at stake. Give now to help Claire win!",2018-10-28 23:59:27
Claire McCaskill,"Claire McCaskill / Josh Hawley Final Debate - Sparks Fly - Don’t Get Sidetracked by False Flags



“will you, Senator McCaskill, vote for an all-out ban like you said in last week's Project Veritas video?



#VoteRedToSaveAmerica 



https://t.co/jwnStFepRX",2018-10-28 23:59:30
Claire McCaskill,"Pres. Trump has flown to MO 4 times to campaign against my friend Claire McCaskill, and special interest groups have spent more than $20 MILLION to flip her seat. So please, give now so Claire can turn out voters to keep this seat blue and protect the future of the Supreme Court.",2018-10-28 23:59:43
Claire McCaskill,@MeetThePress @MorganRadford Republicans want to take away protections for people with pre-existing health conditions like asthma &amp; diabetes. Republicans voted to take away those protections last year and are suing to take away the pre-existing protections. Vote for Claire McCaskill,2018-11-04 23:58:35
Claire McCaskill,@MomsDemand is getting out the Vote for Claire McCaskill @McCaskill4MO &amp; Cort VanOstran @cortvo! We need to do it too! #VoteDem #WaveCast #WaveCastMO  #FlipTheHouse #FlipTheSenate 💥 Vote! 💥 https://t.co/eKue6XWJRA,2018-11-04 23:58:44
Claire McCaskill,Claire McCaskill Under Fire After Staffer Admits Planned Parenthood Secretly Funnels Money to Her https://t.co/13jyfaZd9O https://t.co/mIaBmujmpo,2018-11-04 23:58:55
Claire McCaskill,"💥💥 MISSOURI ELECTION ALERT 💥💥

If you want want Border Security, and to preserve your way of life, it’s time to say goodbye the Claire McCaskill

And vote for Josh Hawley @HawleyMO for U.S Senate.  Our President agrees that Josh Hawley is the right choice for Missouri. https://t.co/jseG3AfjFW",2018-11-04 23:58:57
Claire McCaskill,"Claire McCaskill stands with them, not Missouri. Find your polling place now and vote November 6th!",2018-11-04 23:59:05
